req_text;profession
Sou aluna de doutorado da UFPR e pesquiso sobre a acromegalia. Gostaria de ter acesso aos dados de consumo dos medicamentos utilizados para a acromegalia (CID E22.0) por dose nos anos de 2017 e 2018. São medicamentos do componentes especialziado da assistência farmacêutica. Obrigada.;academic
Gostaria de consultar a disponibilidade de códigos de vaga para Professor EBTT - área Biologia. Desde já, agradeço a atenção.;academic
"Prezados, bom dia. Procurei no site do Serpro e no http://www3.transparencia.gov.br/licitacoes e não encontrei o documento que serviu de base para a Dispensa 181/2017, se ela foi Cotação Eletrônica. Pelo fato de não ter encontrado, solicito a disponibilização desse documento. Quando clico em ""downloads editais"" da página http://www.serpro.gov.br/menu/quem-somos/transparencia1/lei-de-acesso-a-informacao/licitacoes-e-contratos/licitacoes-1/ sou redirecionado para uma página que não existe.";government
Solicito o número de matrícula do SIAP do docente Cléber Araújo Gomes, do Instituto de Saúde e Biotecnologia - Campus Coari.;academic
A Lei nº 12772/2012 regulamenta a carreira de Professor EBTT.Nela é tratada a forma de acesso à classe de professor Titula nos Institutos Federais.Tenho notado uma certa disparidade, por parte desses institutos, na forma de concessão dos efeitos financeiros aos professores que conseguem a titularidade, especificamente da data a partir da qual, isso é feito.Gostaria de saber como isto está sendo feito no IF Fluminense.A solicitação se prende à necessidade que tenho, com membro do CONSUP/IFPE de embasar minha opinião sobre o fato.;academic
As questões enviadas visam de forma objetiva refletir e contribuir para a aplicabilidade da Lei de Acesso à Informação. São 10 questões de respostas Sim ou Não. Agradeço a contribuição.;academic
Desejo saber qual orientação e amparo legal para funcionamento de órgão federal em datas referentes a feriado municipal onde o setor está localizado. É ilegal trabalhar? Mesmo sendo feriado de cunho religioso? É lícito deixar de prover o serviço público, quando todo o comércio está funcionando?;government
Gostaria de saber se em toda a portabilidade de credito consingado de um banco para o outro deve ter troco ou seja pagamento de valor para o cliente? pois fiz portabilidade de credito do banco panamericano e bradesco bf para o banco santander e não recebi valor de troco.;government
Trabalho com desapropriação desde 2008 , e estudando acerca do assunto deparei com Projeto Lei Nº 135/2017 de autoria do Senador Antônio Anastasia que utiliza como base a tese do Dr. Federico Nunes de Matos - Novas fronteiras da arbitragem aplicável aos litígios da administração pública: incidência sobre conflitos extracontratuais, especialmente na desapropriação. No dia 28/08/2018 entrei em contato no Gabinete do referido Senador e me informaram que deveria enviar um e-mail a Sra. Ana Paula de Azevedo de Carvalho (assessora parlamentar), e assim o fiz. Até a presente data não obtive resposta. Já no dia 30/08/2018 entrei em contato novamente no Gabinete do Senador me passaram a informação que deveria enviar um novo e-mail agora para o Sr. Icaro Franco Pirceni(Auxiliar parlamentar pelno). No dia 06/09/2018 entrei em contato na secretaria da Biblioteca Digital onde está disponível 34 laudas da tese (expôs que gostaria de ter acesso a íntegra da tese e fui informada que não estava autorizado, apenas o que já estava no site) http://www.bibliotecadigital.ufmg.br/dspace/handle/1843/BUOS-ASWGAZ. Foi fornecido o e-mail do Dr. Federico Nunes de Matos e no mesmo momento enviei o e-mail solicitando o material e até hoje não obtive resposta. Diante de vários contatos por tefefone no Gabinete do Senador, resolvi ir pessoalmente no Senado cuja visita ocorreu no dia 10/09/2018. No dia 11/09/2018 entraram em contato comigo do Gabinete através da Sra. Vera Lúcia Nonato (auxiliar parlamentar júnior) que me passou a informação da recusa do fornecimento da tese, pois o orientador não autorizou o fornecimento da informação. Quero muito ter acesso a esse trabalho pois trabalho na área e também estou fazendo doutorado – (Doutorado em Ciências Jurídicas da UMSA (UNIVERSIDAD Del Museo Social Argentino - em Bueno Aires), cuja linha de trabalho será em desapropriação por utilidade pública utilizando a mediação. Por se tratar de tese defendida, publicada e cujo “doutorando” já está titula;academic
Solicito a localização, e a data de entrega real* de dois objetos, o primeiro de código RU101805325NL que excedeu os 40d úteis para entrega desde o dia 06/04/2018 e desde então não há sinal dele. Já abri reclamação no site (http://www2.correios.com.br/sistemas/falecomoscorreios/) e não obtive resposta. E o outro objeto de código PG326875631BR, que foi enviado de São Paulo/SP para Blumenau/SC e acabou indo para Recife/PE (?) excedendo assim o tempo de entrega, que também já abri reclamação no site dos Correios. *real = estimativa verdadeira, com base na localização e serviço dos Correios. Atenciosamente, Isabela C. Garcia;academic
